uid,activity_sector,PREVIOUS_DEP,JOB_DEP,JOB_DESCRIPTION,type_of_contract,Occupational_status,job_condition,employer_type,WORKING_HOURS,employee_count
6800,"MA","22","22","542a","CDI","O","C","ct_9",463,"tr_0"
6812,"NZ","09","81","534a","CDI","O","C","ct_9",1909,"tr_4"
6828,"GZ","69","69","684a","CDI","O","C","ct_9",250,"tr_3"
6833,"KZ","33","33","376e","CDI","O","C","ct_9",1870,"tr_6"
6834,"QB","75","75","543b","CDI","O","C","ct_8",1669,"tr_1"
6842,"CI","78","92","624c","CDI","O","C","ct_9",1834,"tr_5"
6845,"CH","88","88","676c","CDD","O","C","ct_9",1517,"tr_5"
6851,"IZ","85","73","636d","CDI","O","C","ct_9",459,"tr_1"
6858,"GZ","16","16","553b","CDI","O","P","ct_9",1273,"tr_3"
6861,"QA","03","03","523d","CDI","O","C",NA,151,NA
6864,"PZ","59","59","422c","CDI","O","P","ct_8",1419,"tr_5"
6871,"CL","67","67","674d","CDI","O","C","ct_9",1504,"tr_6"
6874,"GZ","33","77","477c","CDI","O","C","ct_9",1169,"tr_6"
6880,"NZ","44","44","534a","CDI","O","P","ct_9",1040,"tr_4"
6883,"QB","47","47","563b","CDI","O","N","ct_7",2057,"tr_1"
6892,"CK","59","59","477a","CDI","O","C","ct_9",1778,"tr_5"
6893,"CH","67","67","541b","CDI","O","C","ct_9",1517,"tr_6"
6894,"NZ","75","75","544a","CDI","O","C","ct_9",1770,"tr_6"
6895,"NZ","95","75","534a","CDI","O","C","ct_9",1341,"tr_6"
6897,"CL","54","54","634a","CDI","O","C","ct_9",1477,"tr_6"
6903,"QB","42","42","525d","CDI","O","C","ct_9",614,"tr_4"
6952,"GZ","45","94","551a","CDI","O","P","ct_9",1659,"tr_4"
6953,"HZ","33","33","641b","CDI","O","C","ct_9",1304,"tr_4"
6960,"EZ","92","77","684b","CDI","O","C","ct_9",1470,"tr_3"
6988,"FZ","55","55","641a","CDI","O","C","ct_9",1751,"tr_2"
6989,"CM","21","21","388a","CDI","O","C","ct_9",1820,"tr_5"
6991,"NZ","92","92","461b","CDI","O","C","ct_9",928,"tr_0"
7007,"GZ","74","74","636b","CDI","O","P","ct_9",385,"tr_2"
7011,"KZ","30","30","376c","CDI","O","C","ct_9",1660,"tr_1"
7018,"PZ","70","70","422d","CDI","O","C","ct_8",1827,"tr_3"
7023,"OZ","11","11","545d","CDI","O","C","ct_8",1820,"tr_5"
7024,"PZ","56","35","341a","CDI","O","P","ct_8",1576,"tr_4"
7043,"GZ","78","78","373b","CDI","O","C","ct_9",1652,"tr_6"
7047,"LZ","57","57","461d","CDI","O","P","ct_9",227,"tr_1"
7056,"QA","94","75","344a","CDI","O","P","ct_3",546,"tr_6"
7066,"HZ","13","13","653a","CDI","O","C","ct_9",1935,"tr_2"
7067,"NZ","30","30","684a","CDI","O","C","ct_8",1820,"tr_5"
7075,"CE","27","76","477b","CDI","O","C","ct_9",1985,"tr_5"
7079,"HZ","79","93","371a","CDI","O","C","ct_9",1820,"tr_6"
7083,"QB","76","76","563a","CDI","O","N","ct_7",1520,"tr_1"
7096,"GZ","57","57","477c","CDI","O","C","ct_9",1968,"tr_1"
7107,"KZ","78","92","388c","CDI","O","C","ct_9",1820,"tr_6"
7118,"LZ","69","69","472c","CDI","O","C","ct_5",1755,"tr_6"
7127,"OZ","31","31","479b","CDI","O","P","ct_1",364,"tr_6"
7129,"QA","80","80","332b","CDI","O","C","ct_3",1516,"tr_6"
7143,"QA","92","94","344a","CDI","O","C","ct_3",1820,"tr_6"
7158,"QB","76","76","451h","CDI","O","C",NA,151,NA
7181,"NZ","13","13","684a","CDI","O","P","ct_9",1472,"tr_3"
7182,"QB","95","95","479b","CDI","O","C","ct_8",1759,"tr_3"
7194,"QB","75","75","563b","CDI","O","C",NA,254,NA
7202,"TZ","63","63","563c","CDI","O","N","ct_7",1280,"tr_1"
7203,"HZ",NA,NA,"643a","CDI","O","C","ct_9",1816,"tr_5"
7206,"GZ","57","57","344d","CDI","O","C","ct_9",1860,"tr_1"
7207,"QB","80","80","525d","CDI","O","C","ct_8",421,"tr_5"
7212,"KZ","77","91","467a","CDI","O","C","ct_9",2044,"tr_4"
7213,"KZ","42","42","542a","AUT","O","C",NA,437,NA
7227,"QB","91","91","563a","CDI","O","N","ct_7",3000,"tr_0"
7251,"HZ","14","14","641a","CDI","O","C","ct_9",2165,"tr_4"
7253,"QB","68","68","563a","CDI","O","N","ct_7",3000,"tr_1"
7261,"QA","33","33","542a","CDI","O","P","ct_8",327,"tr_1"
7268,"QA","78","78","526b","CDI","O","P","ct_9",1044,"tr_1"
7269,"PZ","44","44","422e","CDI","O","P","ct_2",1128,"tr_2"
7272,"OZ","03","03","621f","AUT","O","C","ct_2",1842,"tr_6"
7284,"NZ","56","56","543b","CDI","O","C","ct_9",1929,"tr_4"
7287,"OZ","41","37","523b","AUT","O","C","ct_1",758,"tr_6"
7295,"RZ","83","83","333e","CDI","O","C","ct_1",1820,"tr_1"
7303,"PZ","79","49","423b","CDI","O","C","ct_1",1814,"tr_5"
7315,"TZ","17","17","563c","CDI","O","N","ct_7",244,"tr_1"
7317,"QA","41","18","431f","CDI","O","C","ct_3",1820,"tr_6"
7336,"OZ","77","77","531b","AUT","O","C","ct_2",1827,"tr_6"
7346,"OZ","13","13","332b","CDD","O","C","ct_2",1850,"tr_6"
7351,"GZ","22","22","634d","CDI","O","C","ct_9",1585,"tr_5"
7356,"EZ","60","60","461b","CDI","O","P","ct_9",910,"tr_4"
7358,"FZ","93","94","461b","CDI","O","C","ct_9",1769,"tr_3"
7375,"NZ","69","69","684a","CDI","O","C",NA,194,"tr_2"
7400,"QB","79","79","563b","CDI","O","P","ct_8",1120,"tr_5"
7407,"QA","31","31","526b","CDI","O","C","ct_6",1813,"tr_1"
7408,"NZ","33","93","684a","CDI","O","P","ct_9",1183,"tr_6"
7429,"HZ","54","57","641a","CDI","O","C","ct_9",2111,"tr_4"
7431,"HZ","04","04","655a","CDI","O","P","ct_9",2200,"tr_1"
7432,"CJ","38","69","473a","CDI","O","C","ct_9",1849,"tr_6"
7435,"OZ","83","83","623f","CDI","O","C",NA,152,NA
7448,"NZ","73","73","461b","CDI","O","C","ct_9",1766,"tr_1"
7452,"OZ","64","64","525a","AUT","O","P","ct_2",621,"tr_6"
7459,"QB","94","94","563b","CDI","O","N","ct_7",2387,"tr_1"
7465,"FZ","31","31","472a","CDI","O","C","ct_9",1444,"tr_1"
7467,"QA","31","31","526d","CDI","O","P","ct_8",222,"tr_4"
7474,"LZ","69","69","551a","CDI","O","C","ct_9",120,"tr_0"
7506,"CL","95","93","461b","CDI","O","C","ct_9",1718,"tr_6"
7511,"GZ","29","29","676a","CDD","O","C","ct_9",552,"tr_4"
7515,"QB","68","68","431f","CDI","O","C","ct_9",1820,"tr_4"
7526,"DZ","92","93","373b","CDI","O","C","ct_9",1771,"tr_6"
7546,"QB","42","42","525d","CDI","O","P","ct_8",752,"tr_5"
7552,"CJ","68","68","672a","CDI","O","C","ct_9",1669,"tr_5"
7558,"KZ","13","13","542a","CDI","O","P","ct_9",747,"tr_1"
7563,"NZ","06","06","534a","CDI","O","C","ct_9",983,"tr_5"
7575,"CM","88","88","474c","CDI","O","C","ct_9",2044,"tr_3"
7576,"CL","78","95","676a","CDI","O","C","ct_9",1986,"tr_6"
7591,"NZ","75","75","564a","CDI","O","C","ct_8",1820,"tr_1"
7614,"OZ","40","40","471a","AUT","O","P","ct_1",1668,"tr_5"
7624,"CC","21","21","675b","CDI","O","C","ct_9",1844,"tr_3"
7629,"PZ","80","80","422b","CDI","O","P","ct_8",764,"tr_3"
7633,"NZ","51","51","684a","CDI","O","P","ct_9",1363,"tr_3"
7639,"GZ","78","75","374d","CDI","O","C","ct_9",1190,"tr_1"
7663,"GZ","40","40","552a","CDI","O","C","ct_9",1757,"tr_4"
7682,"QB","02","02","563a","CDI","O","N","ct_7",1412,"tr_1"
7683,"QB","67","67","563b","CDI","O","N","ct_7",1054,"tr_0"
7684,"GZ","80","80","433a","CDI","O","C","ct_9",1938,"tr_3"
7688,"QA","78","78","525d","CDI","O","C","ct_3",1970,"tr_6"
7701,"CC","14","14","676e","CDI","O","C","ct_9",152,"tr_3"
7708,"KZ","93","93","541d","CDI","O","P","ct_9",1243,"tr_1"
7738,"RZ","95","95","472d","AUT","O","C","ct_1",1517,"tr_4"
7747,"HZ","89","60","641a","CDI","O","C","ct_9",2034,"tr_4"
7756,"QA","40","40","643a","CDI","O","C","ct_9",925,"tr_2"
7762,"QB","12","12","525d","CDI","O","P","ct_8",922,"tr_4"
7782,"GZ","75","75","551a","CDI","O","C","ct_9",1728,"tr_2"
7789,"GZ","85","85","676c","CDI","O","C","ct_9",978,"tr_3"
7810,"HZ","24","47","451a","CDI","O","P","ct_9",1274,"tr_4"
7814,"OZ","77","94","524b","CDI","O","C",NA,208,NA
7823,"QA","06","75","311c","CDI","O","P","ct_8",565,"tr_4"
7828,"PZ","13","13","422e","CDD","O","P","ct_2",910,"tr_2"
7831,"MA","54","54","373c","CDI","O","C","ct_9",1517,"tr_3"
7850,"CH","56","56","643a","CDI","O","C","ct_9",756,"tr_3"
7860,"TZ","44","18","563c","CDI","O","N","ct_7",1846,"tr_1"
7862,"GZ","69","69","387b","CDI","O","C","ct_9",1820,"tr_6"
7886,"PZ","59","59","421b","CDI","O","C","ct_8",1820,"tr_2"
7891,"CC","69","69","676c","CDI","O","C","ct_9",1654,"tr_3"
7930,"CC","79","17","652a","CDI","O","C","ct_9",452,"tr_3"
7935,"PZ","69","69","525a","CDI","O","P","ct_8",393,"tr_3"
7939,"HZ","28","28","333c","CDI","O","C","ct_9",1834,"tr_6"
7942,"HZ","85","85","643a","CDI","O","P","ct_9",964,"tr_3"
7943,"NZ","82","31","534b","CDI","O","C","ct_9",1881,"tr_4"
7945,"OZ","77","77","477a","CDI","O","C","ct_8",1750,"tr_6"
7947,"PZ","06","06","341a","CDI","O","C","ct_8",1820,"tr_5"
7970,"NZ","59","59","684a","CDI","O","P","ct_9",1984,"tr_5"
7973,"GZ","54","54","643a","CDI","O","C","ct_9",1515,"tr_4"
7986,"PZ","44","44","421b","CDI","O","C","ct_8",1820,"tr_3"
7996,"PZ","87","87","422b","CDI","O","C","ct_8",1813,"tr_3"
8009,"QA",NA,NA,"525d","CDI","O","C","ct_9",1804,"tr_6"
8011,"PZ","44","44","341a","CDI","O","C","ct_8",1669,"tr_6"
8016,"OZ","59","59","332b","CDI","O","P","ct_2",372,"tr_6"
8017,"MA","56","56","373c","CDI","O","C","ct_9",1907,"tr_3"
8024,"JC","75","78","388a","CDI","O","C","ct_9",1677,"tr_6"
8040,"NZ","75","95","534a","CDI","O","C","ct_9",2232,"tr_5"
8045,"PZ","25","25","525a","CDI","O","P","ct_8",715,"tr_3"
8051,"QA","67","67","526b","CDI","O","C","ct_6",1470,"tr_1"
8062,"QB","93","93","525d","CDI","O","C","ct_8",1949,"tr_4"
8070,"NZ","80","80","534a","CDI","O","C","ct_9",1820,"tr_5"
8073,"PZ","49","49","342c","CDI","O","P","ct_8",1477,"tr_6"
8089,"LZ","01","01","684a","CDI","O","C","ct_5",1690,"tr_4"
8094,"SZ","21","21","643a","CDI","O","C","ct_9",997,"tr_5"
8098,"FZ","78","78","481b","CDI","O","C","ct_9",1673,"tr_4"
8100,"EZ","14","14","461f","CDI","O","C","ct_9",591,"tr_5"
8109,"KZ","21","21","376d","CDI","O","C","ct_9",1822,"tr_1"
8110,"IZ","27","27","488b","CDI","O","C","ct_9",1233,"tr_1"
8122,"NZ","40","40","691e","CDI","O","C","ct_8",2117,"tr_4"
8126,"JC","69","69","388a","CDI","O","C","ct_9",1820,"tr_6"
8129,"CM","57","78","623b","CDI","O","C","ct_9",1568,"tr_5"
8137,"LZ","64","64","373c","CDI","O","C","ct_9",1864,"tr_1"
8149,"QB","19","19","526d","CDI","O","C","ct_8",1820,"tr_3"
8160,"TZ","66","66","563a","CDI","O","N","ct_7",573,"tr_1"
8164,"SZ","92","75","635a","CDI","O","C",NA,137,NA
8174,"DZ","13","13","386d","CDI","O","C","ct_9",1778,"tr_6"
8180,"GZ","69","69","676e","CDI","O","C","ct_9",1624,"tr_3"
8199,"TZ","79","79","563a","CDI","O","N","ct_7",1178,"tr_1"
8207,"NZ","75","95","534a","CDI","O","C","ct_9",2232,"tr_5"
8229,"QA","29","29","431f","CDI","O","P","ct_8",1365,"tr_6"
8263,"GZ","13","13","372c","CDI","O","C","ct_9",1820,"tr_5"
8268,"OZ","88","88","461f","CDI","O","C","ct_1",1820,"tr_3"
8292,"TZ","83","83","563c","CDD","O","C",NA,180,NA
8298,"HZ","91","91","461b","CDI","O","C","ct_9",1992,"tr_5"
8306,"QB","68","68","525d","CDI","O","C","ct_8",1821,"tr_4"
8313,"QB","56","56","563a","AUT","O","P","ct_2",1227,"tr_6"
8327,"QB","57","57","434a","CDI","O","C","ct_8",1296,"tr_2"
8335,"CA","56","56","674c","CDI","O","C","ct_9",1820,"tr_5"
8348,"NZ","05","06","684a","CDI","O","C","ct_9",1933,"tr_5"
8355,"MB","06","30","451e","CDI","O","C","ct_1",1820,"tr_6"
8373,"HZ","80","80","641a","CDI","O","C","ct_9",1378,"tr_3"
8379,"IZ","21","21","561d","CDI","O","P","ct_9",1002,"tr_3"
8380,"QB","88","88","434d","CDI","O","P","ct_8",759,"tr_2"
8397,"FZ","24","24","542a","CDI","O","P","ct_9",448,"tr_1"
8399,"QB","06","06","563b","CDI","O","C","ct_9",1264,"tr_4"
8411,"KZ","59","75","543b","CDI","O","C","ct_9",1908,"tr_2"
8417,"PZ","69","69","423a","CDI","O","C","ct_9",1546,"tr_4"
8439,"GZ","74","74","554j","CDI","O","P","ct_9",494,"tr_1"
8440,"GZ","52","02","463d","CDI","O","C","ct_9",1820,"tr_1"
8455,"HZ","77","77","641b","CDI","O","C","ct_9",1154,"tr_4"
8463,"CM","93","77","474b","CDI","O","C","ct_9",1853,"tr_5"
8487,"GZ","81","31","433d","CDI","O","P","ct_9",1664,"tr_2"
8489,"HZ","77","93","546d","CDI","O","N","ct_9",1400,"tr_6"
8491,"LZ","59","59","684a","CDI","O","P","ct_9",1603,"tr_5"
8494,"CL","75","93","344b","CDI","O","P","ct_9",1431,"tr_6"
8502,"NZ","10","75","534a","CDD","O","C","ct_9",610,"tr_0"
8506,"GZ","38","69","374d","CDI","O","C","ct_9",1799,"tr_3"
8511,"MB","27","35","451e","CDI","O","P","ct_1",1452,"tr_6"
8512,"MA","94","92","372a","CDI","O","C","ct_9",2028,"tr_1"
8530,"OZ","66","66","331a","CDI","O","C","ct_2",1897,"tr_2"
8531,"QB","06","06","434d","CDI","O","C","ct_8",1198,"tr_5"
8535,"CH","37","37","474b","CDI","O","C","ct_9",583,"tr_6"
8550,"GZ","92","78","461c","CDI","O","C","ct_9",1383,"tr_6"
8567,"FZ","94","91","621a","CDI","O","C","ct_9",1845,"tr_6"
8569,"MA","50","50","542a","CDI","O","C","ct_9",2060,"tr_2"
8570,"FZ","14","61","632f","CDI","O","C","ct_9",1722,"tr_1"
8573,"IZ","69","69","561f","CDI","O","P","ct_8",1074,"tr_2"
8580,"QA","80","60","431f","CDI","O","P","ct_8",908,"tr_4"
8581,"GZ","75","75","553b","CDI","O","C","ct_9",1745,"tr_6"
8598,"IZ","90","90","561d","CDI","O","P","ct_9",1738,"tr_0"
8610,"KZ","86","86","542a","CDI","O","C","ct_9",1820,"tr_1"
8611,"CA","56","56","625d","CDI","O","C","ct_9",1820,"tr_6"
8613,"CA","69","69","674b","CDI","O","C","ct_9",1828,"tr_3"
8635,"QB","06","06","563b","CDI","O","C","ct_8",1051,"tr_5"
8640,"SZ","66","66","563b","CDI","O","P","ct_9",594,"tr_4"
8647,"MA","76","76","480b","CDI","O","C","ct_5",966,"tr_6"
8649,"PZ","01","01","422b","CDI","O","C","ct_8",1820,"tr_4"
8681,"GZ","59","59","372b","CDI","O","C","ct_9",1820,"tr_6"
8687,"GZ","76","76","541c","CDI","O","C","ct_9",1651,"tr_3"
8704,"FZ","15","15","632d","CDI","O","C","ct_9",377,"tr_1"
8713,"GZ","59","59","461f","CDI","O","C","ct_9",1463,"tr_3"
8719,"GZ","30","30","636a","CDI","O","C","ct_9",1109,"tr_3"
8722,"QA","03","03","526a","CDI","O","C","ct_9",1832,"tr_5"
8727,"GZ","02","02","463d","CDI","O","C","ct_9",668,"tr_1"
8730,"CA","56","56","487a","CDI","O","C","ct_9",1640,"tr_3"
8742,"HZ","67","67","641a","CDI","O","C","ct_9",734,"tr_3"
8747,"CG","31","31","475a","CDI","O","C","ct_9",1400,"tr_5"
8759,"PZ","24","24","543f","CDI","O","C","ct_8",1666,"tr_1"
8762,"QB","92","75","434a","CDI","O","C","ct_8",1817,"tr_1"
8778,"FZ","92","94","681a","CDI","O","C",NA,257,NA
8785,"MC","54","77","462d","CDD","O","C","ct_9",131,"tr_5"
8794,"NZ","75","75","564a","CDI","O","P","ct_8",2060,"tr_1"
8825,"PZ","33","33","422d","CDI","O","C","ct_8",1669,"tr_3"
8827,"GZ","56","56","551a","CDI","O","P","ct_9",1542,"tr_3"
8838,"MA","37","41","543b","CDI","O","P","ct_8",1778,"tr_6"
8843,"CB","81","81","675a","CDI","O","C","ct_9",1757,"tr_1"
8856,"OZ","47","33","333f","CDI","O","C","ct_2",1820,"tr_6"
8865,"PZ","92","75","525b","CDI","O","P","ct_8",485,"tr_5"
8867,"QA","76","27","525d","CDI","O","C","ct_9",1834,"tr_4"
8876,"GZ","59","59","554f","CDI","O","C","ct_6",1833,"tr_1"
8890,"QB","19","19","434e","CDI","O","C","ct_8",1820,"tr_4"
8891,"NZ","69","69","684a","CDI","O","C","ct_9",1957,"tr_6"
8900,"NZ","34","69","684a","CDI","O","P","ct_9",516,"tr_6"
8906,"QA","69","69","433d","CDI","O","C","ct_8",738,"tr_6"
8924,"HZ","30","84","641a","CDI","O","C","ct_9",2047,"tr_3"
8929,"FZ","72","72","481b","CDI","O","C","ct_9",1701,"tr_3"
8939,"CA","81","81","484a","CDI","O","C","ct_9",1517,"tr_5"
8941,"PZ","51","51","525a","CDI","O","C","ct_8",869,"tr_3"
8948,"QB","71","71","526a","CDI","O","C","ct_8",1047,"tr_4"
8951,"QB","06","06","563b","CDI","O","N","ct_7",543,"tr_1"
8990,"QB","33","33","563b","CDI","O","C","ct_8",1766,"tr_5"
9003,"QA","26","26","431f","CDI","O","C","ct_3",248,"tr_6"
9004,"NZ","95","75","632a","CDI","O","C",NA,146,"tr_1"
9016,"PZ","78","78","461b","CDI","O","C","ct_4",1771,"tr_5"
9035,"FZ","79","79","477a","CDI","O","C","ct_9",1820,"tr_3"
9064,"CH","93","75","487a","CDI","O","C","ct_9",1909,"tr_1"
9072,"CK","13","13","623a","CDI","O","P","ct_9",717,"tr_1"
9100,"RZ","34","34","353c","CDI","O","C","ct_5",1820,"tr_3"
9105,"SZ","75","75","562a","CDI","O","C","ct_9",607,"tr_0"
9108,"QB","60","60","525d","CDI","O","P","ct_8",624,"tr_4"
9123,"NZ","06","06","534a","CDI","O","C","ct_9",935,"tr_5"
9127,"TZ","01","01","563c","CDI","O","N","ct_7",1774,"tr_0"
9128,"LZ","31","31","376g","CDI","O","C","ct_9",1414,"tr_1"
9133,"HZ","67","67","643a","CDI","O","C","ct_9",1824,"tr_0"
9139,"FZ","33","33","632g","CDI","O","C","ct_9",1680,"tr_1"
9141,"QA","30","30","526b","CDI","O","P","ct_9",1560,"tr_1"
9145,"HZ","94","91","641a","CDI","O","C","ct_9",1575,"tr_2"
9147,"IZ","93","93","636d","CDI","O","C",NA,232,NA
9149,"OZ","59","59","545d","CDI","O","C","ct_8",1887,"tr_5"
9166,"NZ","59","92","386b","CDI","O","C","ct_9",1617,"tr_5"
9167,"GZ","83","83","553b","CDI","O","C","ct_9",1791,"tr_1"
9171,"QA",NA,NA,"433a","CDI","O","C","ct_9",1913,"tr_2"
9174,"QB","72","72","525d","CDI","O","C","ct_9",816,"tr_3"
9188,"PZ","34","34","421b","CDI","O","C","ct_8",1820,"tr_3"
9202,"JC","78","35","387b","CDI","O","C","ct_9",294,"tr_3"
9213,"OZ","14","14","434c","CDI","O","P","ct_8",920,"tr_4"
9214,"QB","38","38","563b","CDI","O","P","ct_8",1262,"tr_2"
9218,"RZ","71","71","534a","CDI","O","C","ct_8",611,"tr_0"
9222,"OZ","69","69","524c","CDI","O","C",NA,305,NA
9239,"GZ","73","73","634d","CDI","O","P","ct_9",465,"tr_2"
9245,"FZ","06","83","681a","CDI","O","C","ct_9",1689,"tr_3"
9246,"MA","92","75","373c","CDI","O","C","ct_9",1821,"tr_0"
9278,"KZ","31","31","372b","CDI","O","P","ct_9",1560,"tr_1"
9292,"QB","62","80","434d","CDI","O","C","ct_8",1327,"tr_3"
9300,"CM","50","50","623a","CDI","O","C","ct_9",811,"tr_1"
9318,"NZ","50","50","691e","CDI","O","C","ct_8",1989,"tr_1"
9377,"FZ","29","29","543b","CDI","O","C","ct_9",1673,"tr_1"
9387,"FZ","38","38","542a","CDI","O","P","ct_9",893,"tr_1"
9389,"GZ","78","94","374c","CDI","O","C","ct_9",1759,"tr_5"
9405,"QA","65","65","344a","CDI","O","C","ct_3",1820,"tr_6"
9426,"OZ","57","57","525b","CDI","O","P",NA,230,NA
9429,"CL","43","63","461f","CDI","O","P","ct_9",741,"tr_5"
9440,"HZ","93","93","643a","CDI","O","C","ct_9",1464,"tr_1"
9447,"FZ","84","84","481b","CDI","O","C","ct_9",1756,"tr_3"
9461,"GZ","51","51","636a","CDI","O","P","ct_9",1426,"tr_6"
9465,"SZ","75","75","441b","CDI","O","C","ct_8",1859,"tr_1"
9479,"MA","89","92","467c","CDI","O","C","ct_9",2018,"tr_6"
9493,"NZ","69","69","671c","CDI","O","C","ct_9",1760,"tr_2"
9501,"OZ","30","30","524c","AUT","X","P","ct_2",1611,"tr_1"
9534,"GZ","30","30","552a","CDI","O","P","ct_9",1405,"tr_4"
9553,"CI","37","37","622e","CDI","O","C","ct_9",455,"tr_5"
9574,"OZ","67","67","451e","CDI","O","C",NA,152,NA
9575,"PZ","59","59","422c","CDI","O","P","ct_8",1419,"tr_5"
9591,"QB","44","44","526a","CDI","O","P","ct_8",189,"tr_4"
9610,"FZ","58","58","632d","CDI","O","C","ct_9",486,"tr_1"
9620,"HZ","75","94","641a","CDI","O","C","ct_9",209,"tr_5"
9625,"OZ","85","44","479b","CDI","O","C","ct_1",1820,"tr_5"
9631,"HZ","77","77","676c","CDI","O","C","ct_9",192,"tr_5"
9636,"QB","44","44","525d","AUT","X","P","ct_3",681,"tr_6"
9643,"HZ","86","79","651b","CDI","O","C","ct_9",2200,"tr_2"
9656,"MC","06","06","526b","CDI","O","C","ct_9",1465,"tr_1"
9659,"EZ","67","67","676a","CDI","O","C","ct_9",1669,"tr_3"
9672,"OZ","17","17","467d","CDI","O","C","ct_8",1820,"tr_6"
9674,"QA","67","67","525d","CDI","O","C","ct_8",1939,"tr_5"
9678,"SZ","78","75","542a","CDI","O","C","ct_8",1820,"tr_1"
9696,"FZ","77","91","632j","CDI","O","C","ct_9",1037,"tr_1"
9697,"JC","60","92","388c","CDI","O","C","ct_9",1858,"tr_5"
9700,"HZ","07","07","451a","CDI","O","P","ct_9",1281,"tr_2"
9701,"RZ","13","13","691b","CDI","O","C","ct_6",2271,"tr_2"
9730,"NZ","79","33","684a","CDI","O","P","ct_9",2176,"tr_6"
9733,"IZ","67","67","636d","CDI","O","C","ct_9",1027,"tr_1"
9737,"CA","49","49","484a","CDI","O","C","ct_9",2028,"tr_6"
9749,"QB","76","76","525d","CDI","O","P","ct_8",1273,"tr_3"
9758,"NZ","59","59","534a","CDI","O","C","ct_9",314,"tr_6"
9759,"MA","13","84","543b","CDI","O","C","ct_9",1266,"tr_1"
9762,"QB","22","22","563a","CDI","O","N","ct_7",988,"tr_0"
9763,"IZ","13","13","525d","AUT","X","C","ct_8",963,"tr_2"
9770,"GZ","40","40","633c","CDI","O","N","ct_9",1690,"tr_1"
9790,"QA","13","13","344a","CDI","O","P","ct_9",1239,"tr_4"
9795,"GZ","29","29","374d","CDI","O","C","ct_9",1362,"tr_2"
9798,"NZ","27","61","684a","CDI","O","P","ct_9",1315,"tr_6"
9805,"MB","46","46","461f","CDI","O","P","ct_5",1666,"tr_6"
9808,"CA","38","38","636c","CDI","O","C","ct_9",817,"tr_2"
9834,"KZ","92","75","344b","CDI","O","P","ct_9",1671,"tr_6"
9840,"GZ","13","13","634c","CDI","O","C","ct_9",1204,"tr_1"
9856,"HZ","31","31","451a","CDI","O","C","ct_9",1847,"tr_3"
9894,"PZ","92","75","423a","CDI","O","C","ct_6",1431,"tr_1"
9908,"EZ","33","33","477a","CDI","O","C","ct_9",1834,"tr_4"
9918,"HZ","78","78","641b","CDI","O","C","ct_9",1893,"tr_6"
9923,"OZ","94","75","333e","CDI","O","C","ct_1",1820,"tr_6"
9939,"CB","69","01","625c","CDI","O","C","ct_9",1115,"tr_6"
9942,"OZ","78","75","434a","CDI","O","P","ct_8",1450,"tr_5"
9951,"HZ","54","54","641b","CDI","O","P","ct_9",1458,"tr_4"
9961,"QA","64","64","441a","CDI","O","P","ct_3",910,"tr_6"
9962,"FZ","83","83","632a","CDI","O","C","ct_9",1820,"tr_1"
9973,"IZ","69","69","636d","CDI","O","C","ct_9",566,"tr_1"
9980,"GZ","75","93","653a","CDI","O","P","ct_9",700,"tr_6"
9988,"GZ","95","93","623e","CDI","O","P","ct_9",794,"tr_3"
10001,"QB","42","42","641a","AUT","X","P","ct_8",320,"tr_3"
10015,"QA","64","64","523d","AUT","O","C","ct_3",1630,"tr_6"
10016,"GZ","26","26","433d","CDI","O","P","ct_9",1361,"tr_1"
10021,"QB","08","08","431f","CDI","O","P","ct_8",1534,"tr_4"
10025,"NZ","95","95","684a","CDI","O","C","ct_9",226,"tr_6"
10028,"QB","31","31","563b","CDI","O","P","ct_9",795,"tr_3"
10036,"CG","14","27","374d","CDI","O","C","ct_9",1806,"tr_5"
10038,"FZ","85","85","632j","CDI","O","C","ct_9",1209,"tr_1"
10044,"HZ","83","83","451a","CDI","O","C","ct_9",1820,"tr_3"
10060,"NZ","13","44","676c","TTP","O","N","ct_9",1061,"tr_5"
10067,"IZ","06","06","561d","CDD","O","C","ct_9",299,"tr_0"
10072,"GZ",NA,NA,"543b","CDI","O","C","ct_9",1859,"tr_2"
10073,"CA","35","35","625f","CDI","O","P","ct_9",867,"tr_5"
10093,"PZ","49","49","342c","CDI","O","P","ct_8",1477,"tr_6"
10097,"CM","76","76","542a","CDI","O","P","ct_9",689,"tr_1"
10100,"QB","91","91","563a","CDI","O","N","ct_7",2166,"tr_1"
10103,"FZ","15","15","634b","CDI","O","C","ct_9",1723,"tr_2"
10111,"MB","31","31","373a","CDI","O","C","ct_5",1534,"tr_6"
10112,"GZ","71","75","554a","CDI","O","P","ct_9",295,"tr_1"
10115,"OZ","34","34","621f","AUT","O","C","ct_2",1843,"tr_6"
10119,"HZ","25","25","642b","CDI","O","P","ct_9",597,"tr_0"
10120,"FZ","78","78","543b","CDI","O","C","ct_9",1456,"tr_6"
10123,"KZ","93","93","467b","CDI","O","P","ct_9",910,"tr_6"
10126,"OZ","67","68","524c","AUT","O","C","ct_2",1763,"tr_6"
10130,"HZ","86","86","643a","CDI","O","C","ct_9",1063,"tr_4"
10142,"HZ","77","77","466b","CDI","O","C","ct_9",1820,"tr_5"
10143,"PZ",NA,NA,"373a","CDI","O","C","ct_8",1820,"tr_5"
10154,"NZ","93","75","684a","CDI","O","C","ct_9",2144,"tr_6"
10169,"TZ","49","49","563c","CDI","O","C",NA,1390,NA
