uid,stipend,employee_count,job_condition,WORKING_HOURS,JOB_DEP,Occupational_status,employer_type,type_of_contract,activity_sector,JOB_DESCRIPTION
32320,1299,"tr_2","P",140,"37","O",NA,"CDI","NZ","676a"
32325,24358,"tr_4","C",1251,"37","O","ct_9","CDI","GZ","676c"
32327,21899,"tr_1","C",1820,"37","O","ct_9","CDI","FZ","632e"
32332,18726,"tr_2","C",1776,"37","O","ct_8","CDI","QB","434b"
32333,16834,"tr_1","C",1820,"37","O","ct_9","CDI","GZ","634d"
32334,18526,"tr_4","C",1820,"37","O","ct_2","AUT","OZ","621f"
32348,27711,"tr_3","C",1820,"37","O","ct_2","AUT","OZ","472d"
32354,10429,"tr_1","C",1202,"37","O","ct_9","CDI","IZ","561f"
32356,25907,"tr_6","C",1824,"78","O","ct_9","CDI","GZ","474b"
32357,7832,"tr_4","P",723,"37","O","ct_9","CDI","GZ","551a"
32364,5498,"tr_6","P",624,"37","X","ct_8","AUT","QB","684a"
32367,15641,"tr_2","C",1608,"37","O","ct_9","CDI","HZ","641a"
32368,74050,"tr_6","C",952,"78","O","ct_9","CDI","GZ","372c"
32381,18520,"tr_3","C",2004,"37","O","ct_9","CDI","GZ","551a"
32403,50284,"tr_3","C",1778,"75","O","ct_9","CDI","DZ","386d"
32420,25114,"tr_3","C",1512,"59","O","ct_9","CDI","FZ","623e"
32421,18234,"tr_3","C",152,"17","O","ct_9","CDI","FZ","463e"
32425,24859,"tr_3","C",1643,"37","O","ct_9","CDI","FZ","633a"
32427,10764,"tr_1","P",1490,"37","O","ct_9","CDD","GZ","552a"
32429,7129,"tr_1","C",691,"37","O","ct_9","TTP","NZ","674c"
32432,14246,"tr_3","C",1703,"37","O","ct_9","CDI","HZ","676c"
32435,16223,"tr_1","P",1479,"37","O","ct_8","CDI","QA","526a"
32447,9931,"tr_6","C",1029,"59","O","ct_9","CDI","NZ","534a"
32453,26951,"tr_2","C",1671,"37","O","ct_9","CDI","GZ","554f"
32465,15648,"tr_1","C",906,"37","O","ct_8","CDI","PZ","423b"
32471,46452,"tr_2","C",1805,"37","O","ct_9","CDI","KZ","376d"
32472,14224,"tr_5","P",1411,"37","O","ct_9","CDI","HZ","521a"
32474,16883,"tr_6","C",1770,"37","O","ct_9","CDI","NZ","684a"
32486,18429,"tr_3","C",1983,"37","O","ct_9","CDI","MA","543b"
32494,15260,"tr_6","C",1820,"93","O","ct_9","CDI","FZ","472c"
32496,40481,"tr_0","C",1806,"37","O","ct_9","CDI","KZ","376e"
32510,2186,"tr_1","C",235,"37","O","ct_9","TTP","NZ","676e"
32513,20091,"tr_6","C",1838,"37","O","ct_9","CDI","GZ","554a"
32514,8064,"tr_1","P",952,"37","O","ct_6","CDI","IZ","561d"
32526,9380,"tr_1","C",970,"37","O","ct_9","TTP","NZ","676c"
32534,30404,"tr_3","C",1178,"37","O","ct_9","CDI","FZ","463e"
32545,34737,"tr_2","C",1811,"37","O","ct_9","CDI","EZ","487a"
32548,25326,"tr_4","C",1964,"37","O","ct_9","CDI","GZ","462b"
32551,8019,"tr_1","P",506,"37","O","ct_8","CDI","RZ","424a"
32553,16021,"tr_6","C",1597,"37","O","ct_2","CDD","OZ","526c"
32554,35996,"tr_6","C",1691,"37","O","ct_9","CDI","DZ","386d"
32555,5525,"tr_2","C",418,"37","O","ct_9","CDI","QA","526e"
32558,34899,"tr_6","C",1909,"37","O","ct_9","CDI","CK","461d"
32559,10163,"tr_6","P",940,"37","O","ct_8","CDI","OZ","545d"
32565,26190,"tr_6","C",1821,"37","O","ct_9","CDI","CL","623g"
32570,4802,"tr_1","C",440,"37","O","ct_9","CDD","MA","387f"
32582,18018,"tr_4","C",1492,"37","O","ct_9","CDI","QB","525d"
32583,19591,"tr_3","C",918,"37","O","ct_9","CDI","NZ","684a"
32584,22017,"tr_6","C",1916,"37","O","ct_8","CDI","OZ","545d"
32586,29361,"tr_1","C",1820,"37","O","ct_9","CDI","GZ","374a"
32591,4813,"tr_3","P",679,"37","O","ct_9","CDI","NZ","684a"
32617,27951,"tr_1","C",1993,"37","O","ct_9","CDI","GZ","462a"
32620,17473,"tr_5","C",1647,"37","O","ct_2","CDI","EZ","621f"
32635,14042,"tr_3","P",1296,"37","O","ct_8","CDI","QB","525d"
32636,6773,"tr_2","P",860,"37","O","ct_8","CDI","PZ","525a"
32655,25734,"tr_4","C",1610,"37","O","ct_9","CDI","GZ","477c"
32667,20584,"tr_5","C",1824,"37","O","ct_9","CDI","CL","624c"
32668,24561,"tr_6","C",1596,"77","O","ct_9","CDI","FZ","671c"
32669,1585,"tr_1","C",196,"37","O","ct_9","TTP","NZ","676a"
32672,17573,"tr_2","P",1803,"37","O","ct_9","CDI","NZ","542a"
32681,2963,"tr_4","C",255,"37","O","ct_8","CDI","QB","526a"
32685,11828,"tr_1","C",1202,"37","O","ct_9","CDI","MA","542a"
32686,4196,"tr_3","P",480,"37","O","ct_9","CDI","QB","526d"
32693,17515,"tr_1","C",1288,"86","O","ct_9","CDI","CM","624d"
32694,30784,"tr_6","C",1726,"37","O","ct_9","CDI","CK","474c"
32697,18230,"tr_6","C",1820,"37","O","ct_3","AUT","QA","523d"
32698,18978,"tr_4","C",1835,"37","O","ct_3","CDI","QB","525d"
32719,26010,"tr_6","C",1784,"37","O","ct_9","CDI","NZ","543g"
32724,27350,"tr_6","C",1610,"37","O","ct_9","CDI","HZ","466c"
32732,8557,"tr_1","P",808,"37","O","ct_9","CDI","IZ","468b"
32734,33695,"tr_1","C",1665,"37","O","ct_9","CDI","GZ","554b"
32735,17961,"tr_5","C",1785,"37","O","ct_8","CDI","QB","434f"
32736,22787,"tr_1","C",1729,"37","O","ct_9","CDI","HZ","621e"
32754,4668,"tr_1","N",323,"37","O","ct_7","CDI","TZ","563c"
32757,16939,"tr_5","C",1722,"37","O","ct_9","CDI","GZ","554a"
32766,12927,"tr_1","C",1489,"37","O","ct_9","CDI","CB","462a"
32772,15697,"tr_6","C",2088,"37","A","ct_5","APP","MB","479a"
32778,17269,"tr_3","C",1592,"38","O","ct_9","CDI","GZ","682a"
32780,11052,"tr_4","P",1239,"38","O","ct_8","CDI","QB","526d"
32792,43712,"tr_4","C",1820,"38","O","ct_8","CDI","PZ","341a"
32799,56775,"tr_6","C",1820,"69","O","ct_9","CDI","CF","373b"
32802,7351,"tr_1","C",507,"73","O","ct_9","TOA","IZ","561f"
32807,28425,"tr_3","C",1756,"38","O","ct_9","CDI","CJ","624f"
32808,30070,"tr_5","C",2100,"38","O","ct_9","CDI","CH","626b"
32819,42625,"tr_4","C",1788,"69","O","ct_9","CDI","HZ","475b"
32828,4708,"tr_1","C",462,"38","O","ct_9","CDI","RZ","564b"
32831,9277,"tr_5","P",1066,"38","O","ct_2","CDD","OZ","524c"
32839,19030,"tr_4","C",1884,"38","O","ct_8","CDI","QB","526a"
32847,18010,"tr_5","C",1719,"38","O","ct_9","CDI","FZ","632f"
32848,7306,"tr_5","P",667,"38","O","ct_9","CDI","GZ","552a"
32852,22909,"tr_6","C",1635,"38","O","ct_9","CDI","GZ","461b"
32853,25557,"tr_2","C",1820,"38","O","ct_8","CDI","SZ","435b"
32855,1989,NA,"C",166,"34","O",NA,"CDI","IZ","424a"
32861,20651,"tr_3","C",1120,"69","O","ct_9","CDI","GZ","462c"
32869,24381,"tr_4","C",1732,"38","O","ct_5","CDI","LZ","461f"
32879,10518,"tr_6","P",801,"38","O","ct_9","CDI","HZ","451a"
32887,20379,"tr_3","C",2200,"38","O","ct_9","CDI","CG","625a"
32892,34427,"tr_3","C",1965,"38","O","ct_9","CDI","CH","626b"
32909,27219,"tr_6","C",1776,"38","O","ct_9","CDI","CJ","626b"
32910,25323,"tr_1","C",1816,"38","O","ct_9","CDI","GZ","554a"
32912,25896,"tr_5","C",1610,"38","O","ct_9","CDI","CK","483a"
32913,44122,"tr_6","C",1820,"38","O","ct_3","AUT","QA","431a"
32918,11960,"tr_6","C",914,"38","O","ct_9","CDD","GZ","676c"
32923,15172,"tr_4","C",1820,"38","O","ct_8","CDI","PZ","422e"
32927,8045,"tr_1","C",1006,"38","O","ct_9","TTP","NZ","632k"
32929,28518,"tr_5","C",1691,"38","O","ct_8","CDI","QB","434b"
32931,50700,"tr_5","C",1820,"92","O","ct_9","CDI","GZ","388a"
32945,26375,"tr_4","C",1785,"38","O","ct_9","CDI","HZ","546c"
32949,19981,"tr_6","C",2043,"38","O","ct_9","CDI","QA","525d"
32954,4483,"tr_1","N",935,"38","O","ct_7","CDI","QB","563a"
32956,50617,"tr_6","C",1799,"58","O","ct_9","CDI","CH","373a"
32957,15979,"tr_1","C",1460,"38","O","ct_9","CDI","SZ","562b"
32961,8788,"tr_1","C",870,"38","O","ct_9","CDI","GZ","637d"
32962,32894,"tr_5","C",1826,"38","O","ct_9","CDI","CB","653a"
32965,30301,"tr_3","C",1820,"38","O","ct_9","CDI","HZ","461f"
32968,18341,"tr_4","C",1918,"38","O","ct_8","CDI","PZ","422c"
32973,18569,"tr_2","C",910,"38","O","ct_9","CDI","MA","388a"
32974,27215,"tr_1","C",1563,"38","O","ct_9","CDI","GZ","486e"
32977,22839,"tr_6","C",1845,"38","O","ct_8","CDI","QA","526a"
32982,1137,"tr_6","C",122,"38","O",NA,"CDI","NZ","552a"
32996,4516,"tr_3","C",423,"38","O","ct_9","CDI","QA","526e"
32997,18825,"tr_3","C",2070,"38","O","ct_9","CDD","GZ","551a"
32998,2901,"tr_0","N",353,"38","O","ct_7","CDI","QB","563a"
33000,32641,"tr_0","C",1715,"38","O","ct_9","CDI","MB","388a"
33003,29844,"tr_1","C",1820,"38","O","ct_9","CDI","GZ","461f"
33008,21333,"tr_0","C",1445,"38","O","ct_9","CDI","GZ","461b"
33009,17155,"tr_3","C",1465,"38","O","ct_8","CDI","QB","525d"
33027,2346,NA,"C",212,"38","O",NA,"CDI","MC","627e"
33028,32380,"tr_4","C",1782,"38","O","ct_9","CDI","CH","479b"
33039,52320,"tr_6","C",1834,"38","O","ct_9","CDI","MB","342f"
33042,53253,"tr_5","C",1820,"38","O","ct_9","CDI","CI","344b"
33043,19443,"tr_4","C",1918,"38","O","ct_8","CDI","PZ","422c"
33052,21427,"tr_4","C",1767,"69","O","ct_9","CDI","HZ","628a"
33061,2559,"tr_5","C",264,"69","O","ct_9","CDI","CM","477b"
33062,58249,"tr_6","C",1820,"38","O","ct_9","CDI","CI","383b"
33066,15796,"tr_1","P",1365,"38","O","ct_2","AUT","PZ","421b"
33069,38933,"tr_4","C",1708,"26","O","ct_9","CDI","HZ","389a"
33070,36424,"tr_1","C",2028,"38","O","ct_9","CDI","NZ","372b"
33073,23506,"tr_1","C",1817,"38","O","ct_9","CDI","GZ","543b"
33074,12660,"tr_5","P",1002,"38","O","ct_9","CDI","NZ","684a"
33080,20224,"tr_4","C",1821,"38","O","ct_9","CDI","NZ","684a"
33084,34800,"tr_1","C",1429,"69","O","ct_9","CDI","FZ","462e"
33087,35809,"tr_6","C",1735,"38","O","ct_9","CDI","HZ","641b"
33089,48156,"tr_3","C",2036,"38","O","ct_9","CDI","HZ","621a"
33098,53701,"tr_5","C",1835,"38","O","ct_8","CDI","QA","344d"
33105,54302,"tr_4","P",728,"38","O","ct_9","CDI","JC","388a"
33116,20492,"tr_6","C",1820,"38","O","ct_8","CDI","QA","433a"
33127,11844,"tr_6","P",1273,"73","O","ct_3","CDI","QA","451h"
33128,20400,"tr_6","C",2148,"56","O","ct_9","CDI","NZ","534a"
33129,44974,"tr_4","C",1820,"38","O","ct_9","CDI","KZ","387d"
33130,22700,"tr_6","C",1820,"69","O","ct_1","AUT","OZ","531a"
33131,15025,"tr_2","P",1432,"38","O","ct_2","AUT","OZ","525a"
33135,15660,"tr_1","P",672,"38","O","ct_8","CDI","RZ","354f"
33136,17298,"tr_3","C",1465,"38","O","ct_8","CDI","QB","525d"
33139,26684,"tr_3","C",1878,"38","O","ct_9","CDI","CH","474a"
33146,40524,"tr_5","C",1673,"38","O","ct_9","CDI","CJ","373b"
33151,25227,"tr_3","C",1951,"38","O","ct_9","CDI","CH","643a"
33153,20255,"tr_3","C",1750,"38","O","ct_9","CDI","HZ","655a"
33163,18215,"tr_3","C",1820,"38","O","ct_8","CDI","QB","525d"
33170,1858,"tr_6","P",230,"38","O","ct_3","CDI","QA","525d"
33172,31661,"tr_5","C",1832,"38","O","ct_8","CDI","KZ","545c"
33174,40707,"tr_6","C",1749,"38","O","ct_9","CDI","CI","482a"
33175,54299,"tr_6","C",2119,"01","O","ct_9","CDI","DZ","485a"
33178,20299,"tr_2","C",1844,"38","O","ct_2","AUT","OZ","333f"
33183,18316,"tr_1","C",1576,"38","O","ct_6","CDI","QA","526b"
33184,26247,"tr_5","P",1456,"38","O","ct_9","CDI","JA","478a"
33185,53911,"tr_3","C",1820,"38","O","ct_9","CDI","MA","372c"
33192,3586,"tr_5","C",406,"38","O","ct_3","CDD","QB","525d"
33195,22067,"tr_6","C",2028,"36","O","ct_1","AUT","OZ","532a"
33197,15869,"tr_4","P",1175,"38","O","ct_8","CDI","QB","526d"
33199,21561,"tr_4","C",1819,"38","O","ct_8","CDI","QB","525d"
33204,12803,"tr_1","P",1380,"38","O","ct_9","CDI","CA","554a"
33208,52119,"tr_6","C",2072,"38","O","ct_5","CDI","MB","342g"
33210,19572,"tr_2","C",1677,"38","O","ct_8","CDI","QA","543g"
33216,32848,"tr_3","C",1820,"38","O","ct_9","CDI","CM","387d"
33218,1691,"tr_1","C",636,"38","A","ct_9","APP","CA","683a"
33224,17624,"tr_6","P",1456,"38","O","ct_8","CDI","QA","525d"
33228,26736,"tr_2","P",1607,"38","O","ct_8","CDI","QA","431a"
33230,26561,"tr_3","P",1301,"38","O","ct_9","CDI","MA","461e"
33236,25367,"tr_6","P",1455,"38","O","ct_2","AUT","OZ","333f"
33238,2075,"tr_1","P",330,"38","O","ct_6","CDD","FZ","632g"
33241,16171,"tr_1","C",1527,"38","O","ct_9","CDD","FZ","681a"
33245,34980,"tr_6","C",1834,"38","O","ct_9","CDI","JC","388a"
33253,1621,"tr_2","N",178,"38","O","ct_8","AUT","RZ","435b"
33257,17660,"tr_5","C",1820,"38","O","ct_8","CDI","QB","526d"
33258,15109,"tr_5","P",1365,"38","O","ct_8","CDI","QB","526d"
33260,17772,"tr_3","P",1609,"38","O","ct_2","CDI","OZ","524c"
33264,70213,"tr_6","C",2072,"38","O","ct_5","CDI","MB","342g"
33281,22258,"tr_1","C",1820,"38","O","ct_6","CDI","FZ","632c"
33290,30592,"tr_1","C",1717,"01","O","ct_9","CDI","KZ","462e"
33294,20059,"tr_3","C",2253,"38","O","ct_9","CDI","NZ","534a"
33296,13971,"tr_2","P",945,"69","O","ct_9","CDI","PZ","342b"
33310,19653,"tr_4","C",1421,"38","O","ct_9","CDI","FZ","632f"
33312,28985,"tr_6","C",1762,"38","O","ct_9","CDI","QA","431f"
33313,2478,NA,"C",148,"69","O",NA,"CDI","PZ","422d"
33325,12779,"tr_0","C",1246,"38","O","ct_9","CDI","QA","526e"
33327,19993,"tr_5","C",1914,"38","O","ct_9","CDI","CH","632k"
33330,23972,"tr_3","C",2248,"01","O","ct_9","CDI","HZ","641a"
33341,18839,"tr_4","C",1777,"38","O","ct_8","CDI","QB","526d"
33346,17370,"tr_4","P",1634,"38","O","ct_8","CDI","QB","526d"
33347,31957,"tr_6","C",1807,"38","O","ct_1","AUT","MB","524c"
33349,15592,"tr_1","C",1513,"38","O","ct_9","CDI","GZ","553c"
33355,15232,"tr_3","C",1577,"69","O","ct_9","CDI","CH","623a"
33357,15856,"tr_6","C",1438,"38","O","ct_8","CDI","QA","526a"
33359,21285,"tr_6","C",1192,"69","O","ct_9","CDI","HZ","477a"
33360,5896,"tr_2","C",498,"38","O","ct_9","CDI","IZ","636d"
33362,13455,"tr_5","C",728,"92","X","ct_9","AUT","HZ","388a"
33363,36395,"tr_6","C",1873,"38","O","ct_9","CDI","CM","626b"
33371,20722,"tr_4","C",1657,"38","O","ct_9","CDD","LZ","543g"
33376,18540,"tr_1","C",1561,"38","O","ct_9","CDI","KZ","526b"
33383,21820,"tr_6","C",1819,"38","O","ct_2","AUT","OZ","523c"
33386,12213,"tr_1","C",1332,"07","O","ct_9","CDI","CM","634d"
33390,39580,"tr_3","C",1820,"38","O","ct_9","CDI","JC","478a"
33398,2829,"tr_1","N",237,"38","O","ct_9","TTP","NZ","676c"
33399,16815,"tr_6","P",1692,"38","O","ct_9","CDI","GZ","552a"
33402,33510,"tr_4","C",1820,"38","O","ct_9","CDI","JC","388a"
33405,23025,"tr_6","C",1800,"38","O","ct_9","CDI","HZ","333c"
33411,16133,"tr_3","C",1535,"38","O","ct_9","CDI","PZ","423a"
33412,18966,"tr_3","C",1853,"38","O","ct_9","CDI","IZ","468a"
33413,8729,"tr_3","P",910,"38","O","ct_8","CDI","PZ","525b"
33414,33323,"tr_5","C",1820,"69","O","ct_8","CDI","QB","434a"
33415,22386,"tr_3","C",1277,"69","O","ct_9","CDI","FZ","463e"
33416,10366,"tr_6","P",915,"38","O","ct_3","CDI","QA","525d"
33418,26785,"tr_3","C",1799,"69","O","ct_9","CDI","GZ","462c"
33420,18718,"tr_6","P",670,"38","O","ct_5","CDI","MB","342g"
33426,39061,"tr_5","C",1610,"38","O","ct_9","CDI","MB","461b"
33433,18160,"tr_4","C",1712,"07","O","ct_9","CDI","QB","526a"
33438,3839,"tr_5","C",363,"38","O","ct_3","CDD","QA","632k"
33441,22474,"tr_6","P",1755,"38","O","ct_8","CDI","QB","526a"
33445,39883,"tr_3","P",1658,"69","O","ct_9","CDI","HZ","374d"
33456,40948,"tr_0","C",1817,"69","O","ct_9","CDI","SZ","387c"
33461,54115,"tr_4","C",1799,"91","O","ct_9","CDI","GZ","385c"
33470,57258,"tr_6","C",1820,"38","O","ct_9","CDI","FZ","382c"
33476,32195,"tr_6","C",1724,"69","O","ct_8","CDI","QA","433a"
33487,24279,"tr_6","C",3000,"38","O","ct_9","CDI","JA","352a"
33493,13952,"tr_4","P",1365,"38","O","ct_3","CDI","QB","525d"
33500,9885,"tr_6","P",1137,"38","O","ct_3","CDI","QA","525d"
33502,35061,"tr_6","C",1953,"38","O","ct_5","CDI","MB","342g"
33519,18489,"tr_4","C",1502,"38","O","ct_9","CDI","CG","625b"
33525,9967,"tr_1","C",958,"38","O","ct_9","CDI","SZ","562b"
33534,50759,"tr_2","C",1820,"38","O","ct_8","CDI","PZ","341b"
33541,27772,"tr_6","C",1828,"38","O","ct_9","CDI","CG","625c"
33554,64236,"tr_6","C",1820,"69","O","ct_9","CDI","GZ","374b"
33556,18640,"tr_1","C",981,"73","O","ct_9","CDI","PZ","423b"
33570,16217,"tr_4","C",1730,"38","O","ct_9","CDI","HZ","643a"
33582,26928,"tr_0","C",1556,"38","O","ct_9","CDI","GZ","374a"
33586,30358,"tr_5","C",1614,"38","O","ct_9","CDI","CK","483a"
33590,23919,"tr_4","P",1309,"38","O","ct_8","CDI","QB","431f"
33593,19719,"tr_2","C",1999,"38","O","ct_9","CDI","CM","676e"
33607,26389,"tr_6","C",2155,"38","O","ct_9","CDI","GZ","461e"
33612,20594,"tr_0","C",1293,"38","O","ct_9","CDI","GZ","543g"
33618,5078,"tr_3","C",609,"74","O","ct_9","CDI","CK","466b"
33624,34861,"tr_1","C",1778,"38","O","ct_9","CDI","MA","384b"
33635,11407,"tr_4","P",953,"38","O","ct_8","CDI","PZ","525b"
33638,39011,"tr_5","C",1809,"38","O","ct_9","CDI","GZ","374d"
33645,24042,"tr_2","P",914,"38","O","ct_8","CDI","QB","344b"
33650,49895,"tr_5","C",1688,"38","O","ct_9","CDI","CK","384c"
33656,2673,"tr_4","C",285,"38","O","ct_8","CDI","QB","526c"
33662,17766,"tr_4","P",1634,"38","O","ct_8","CDI","QB","526d"
33664,22225,"tr_0","C",1757,"38","O","ct_9","CDI","GZ","461b"
33665,24335,"tr_4","C",1679,"38","O","ct_9","CDI","EZ","676c"
33666,6311,"tr_1","P",219,"69","O","ct_9","CDI","JA","543b"
33670,9343,"tr_1","C",372,"38","O","ct_9","CDI","GZ","637d"
33679,26719,"tr_1","C",1984,"69","O","ct_9","CDI","CM","543b"
33687,14891,"tr_1","C",1556,"38","O","ct_9","CDI","KZ","461b"
33688,19157,"tr_6","P",1456,"69","O","ct_1","AUT","OZ","451e"
33692,23898,"tr_6","C",1371,"44","O","ct_9","CDI","CM","486d"
33694,35181,"tr_5","C",1712,"92","O","ct_9","CDI","MA","373b"
33706,16468,"tr_4","C",1676,"69","O","ct_9","CDI","QA","525d"
33716,15929,"tr_6","C",1369,"38","O","ct_3","CDD","QA","433a"
33717,23229,"tr_6","C",1064,"69","O","ct_9","CDI","GZ","385a"
33724,35556,"tr_4","C",1154,"38","O","ct_9","CDI","CH","384b"
33727,55721,"tr_1","C",1442,"38","O","ct_9","CDI","KZ","374d"
33729,15120,"tr_4","P",1628,"38","O","ct_9","CDI","QB","563b"
33730,20299,"tr_2","C",1599,"38","O","ct_9","CDI","FZ","461d"
33732,34661,"tr_1","C",1526,"38","O","ct_9","CDI","GZ","374b"
33738,33706,"tr_6","C",1835,"38","O","ct_9","CDI","CJ","628a"
33739,12398,"tr_3","C",1687,"73","O","ct_9","CDI","CG","674a"
33742,11652,"tr_4","P",1274,"38","O","ct_8","CDI","QB","525d"
33747,17687,"tr_3","C",1673,"38","O","ct_9","CDI","NZ","676c"
33749,5311,"tr_1","C",443,"69","O","ct_9","CDD","CM","624d"
33752,34729,"tr_5","C",1820,"38","O","ct_2","CDI","OZ","333f"
33756,13943,"tr_6","C",1067,"34","O","ct_9","CDI","NZ","534a"
33757,21374,"tr_2","C",1735,"38","O","ct_9","CDI","FZ","632g"
33770,19091,"tr_5","C",1820,"38","O","ct_8","CDI","QB","526d"
33775,49108,"tr_5","C",1821,"38","O","ct_4","CDI","PZ","422b"
33779,1428,"tr_0","C",143,"38","O",NA,"CDI","NZ","676a"
33786,21236,"tr_3","C",1842,"07","O","ct_8","CDI","QB","526a"
33787,15085,"tr_6","P",1364,"38","O","ct_3","CDI","QA","632k"
33789,9713,"tr_1","C",733,"38","O","ct_9","CDI","GZ","554d"
33791,54869,"tr_0","C",1315,"69","O","ct_9","CDI","JB","374b"
33794,20392,"tr_3","C",1772,"38","O","ct_9","CDI","CJ","622c"
33799,38706,"tr_6","C",1885,"38","O","ct_9","CDI","CM","474c"
33801,12064,"tr_5","C",1691,"33","O","ct_9","CDI","HZ","676d"
33804,49368,"tr_5","C",1660,"38","O","ct_9","CDI","CK","387e"
33806,47146,"tr_4","C",1820,"38","O","ct_9","CDI","MC","386b"
33808,43974,"tr_6","C",1988,"38","O","ct_9","CDI","CJ","375b"
33815,26219,"tr_1","N",1893,"38","O","ct_7","CDI","TZ","563c"
33818,20422,"tr_4","C",1915,"38","O","ct_9","CDI","HZ","641b"
33823,24009,"tr_3","C",1820,"38","O","ct_1","AUT","OZ","451c"
33829,17434,"tr_6","C",1330,"01","O","ct_9","CDI","HZ","676c"
33842,48104,"tr_6","C",1827,"69","O","ct_9","CDI","CE","477b"
33843,20777,"tr_4","C",1821,"38","O","ct_8","CDI","QB","526a"
33847,35243,"tr_6","C",1715,"92","O","ct_9","CDI","KZ","374c"
33850,44790,"tr_5","C",1807,"38","O","ct_9","CDI","MA","479b"
33853,32123,"tr_6","C",2058,"38","O","ct_9","CDI","CJ","484b"
33855,12527,"tr_4","P",1365,"38","O","ct_3","CDI","QB","525d"
33859,19287,"tr_5","C",1749,"69","O","ct_9","CDI","QA","543g"
33862,75797,"tr_6","C",1820,"38","O","ct_9","CDI","CI","388a"
33864,8150,"tr_5","C",1300,"38","O","ct_9","CDI","NZ","534a"
33871,18598,"tr_3","C",1212,"69","O","ct_9","CDI","CE","475a"
33877,25552,"tr_5","C",1920,"69","O","ct_9","CDI","NZ","543b"
33882,6682,"tr_4","P",1384,"38","X","ct_8","AUT","QB","676a"
33886,24856,"tr_6","P",1461,"38","O","ct_9","CDI","CI","463e"
33887,24083,"tr_6","C",1778,"38","O","ct_8","CDI","QA","461d"
33888,30337,"tr_6","C",1307,"38","O","ct_5","CDI","MB","342g"
33890,16237,"tr_4","C",1414,"38","O","ct_9","CDI","CH","626b"
33891,42695,"tr_4","C",1824,"38","O","ct_9","CDI","EZ","628e"
33895,15911,"tr_1","C",1645,"38","O","ct_9","CDI","CA","554a"
33903,19907,"tr_3","P",1870,"38","O","ct_9","CDI","GZ","555a"
33912,9767,"tr_1","C",706,"38","O","ct_9","CDI","IZ","461f"
33918,4190,"tr_1","C",606,"38","O","ct_9","TTP","NZ","674c"
33920,24701,"tr_4","C",1577,"38","O","ct_9","CDI","FZ","632f"
33931,17356,"tr_6","C",1702,"38","O","ct_9","CDI","JC","478c"
33935,25530,"tr_1","C",1571,"38","O","ct_9","CDI","GZ","463b"
33936,19227,"tr_6","C",1668,"69","O","ct_2","AUT","OZ","525b"
33940,4728,"tr_6","P",516,"38","O","ct_2","CDD","OZ","524c"
33946,16693,"tr_3","C",1771,"38","O","ct_9","CDI","GZ","676a"
33948,51793,"tr_5","C",1792,"38","O","ct_9","CDI","CJ","342g"
33963,12175,"tr_0","C",1378,"38","O","ct_9","CDI","MA","636d"
33966,26826,"tr_4","C",1662,"73","O","ct_9","CDI","GZ","462e"
33967,21449,"tr_6","C",1820,"38","O","ct_1","AUT","OZ","523b"
33976,32765,"tr_6","C",1819,"38","O","ct_2","CDI","OZ","333f"
33997,9410,"tr_3","P",1271,"38","X","ct_8","AUT","SZ","685a"
33999,20821,"tr_2","C",1940,"38","O","ct_9","CDI","NZ","534a"
34003,35304,"tr_3","C",1820,"38","O","ct_8","CDI","PZ","422c"
34007,36490,"tr_6","C",1821,"38","O","ct_9","CDI","CI","622a"
34014,12969,"tr_4","P",1337,"38","O","ct_8","CDI","QB","525d"
34015,6517,"tr_3","P",814,"38","O","ct_9","CDI","GZ","556a"
34022,29616,"tr_6","C",1825,"38","O","ct_9","CDI","CK","479b"
34025,20009,"tr_6","C",1817,"38","O","ct_8","CDI","OZ","467d"
34030,52925,"tr_5","C",1820,"38","O","ct_9","CDI","MA","387a"
34037,19255,"tr_6","C",1945,"38","O","ct_9","CDI","GZ","544a"
34041,2808,"tr_2","P",293,"38","O","ct_9","CDI","HZ","643a"
34042,16791,"tr_4","C",1325,"38","O","ct_8","CDI","QB","563b"
34045,14902,"tr_2","P",1353,"38","O","ct_9","CDI","QA","431f"
34054,64553,"tr_5","C",1799,"38","O","ct_9","CDI","DZ","387e"
34056,51225,"tr_6","C",1735,"38","O","ct_9","CDI","CK","374d"
34059,28538,"tr_6","C",1845,"38","O","ct_9","CDI","CG","628g"
34062,10008,"tr_5","P",1214,"38","O","ct_9","CDI","GZ","552a"
34071,34750,"tr_5","C",1775,"69","O","ct_9","CDI","QA","431f"
34091,22148,"tr_4","C",1213,"38","O","ct_8","CDI","PZ","341a"
34092,25646,"tr_3","C",2138,"73","O","ct_9","CDI","HZ","533a"
34100,10078,"tr_1","P",864,"38","O","ct_9","CDI","HZ","542a"
34104,20201,"tr_1","P",1624,"38","O","ct_9","CDI","GZ","433d"
34107,8734,"tr_6","C",1000,"34","O","ct_9","CDD","NZ","534a"
34115,19229,"tr_5","C",1693,"69","O","ct_9","CDI","NZ","534a"
34120,26807,"tr_4","P",2139,"38","O","ct_8","CDI","QB","526a"
34122,46257,"tr_4","C",1820,"38","O","ct_1","CDI","OZ","479b"
34128,27780,"tr_4","C",2200,"38","O","ct_9","CDI","HZ","641a"
34130,20930,"tr_2","C",1856,"38","O","ct_9","CDI","GZ","463e"
34133,24734,"tr_4","C",1891,"38","O","ct_9","CDI","GZ","461e"
34134,30164,"tr_1","C",1844,"38","O","ct_9","CDI","GZ","433d"
